Countries,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Afghanistan,75.0,72.0,70.0,67.0,64.0,61.0,59.0,56.0,53.0,51.0,48.0,46.0,43.0,41.0,38.0,36.0,34.0,32.0,30.0,28.0,28.0
Albania,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,89.0,89.0,88.0,87.0,87.0,87.0
Algeria,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0
Angola,57.0,57.0,57.0,56.0,55.0,54.0,54.0,53.0,52.0,51.0,50.0,50.0,49.0,48.0,47.0,46.0,45.0,44.0,43.0,42.0,41.0
Antigua and Barbuda,,,,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Argentina,,,,,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,96.0
Armenia,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0
Australia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Austria,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Azerbaijan,96.0,95.0,95.0,94.0,93.0,92.0,91.0,90.0,89.0,87.0,86.0,85.0,83.0,82.0,81.0,80.0,78.0,77.0,76.0,75.0,74.0
Bahamas,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0
Bahrain,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bangladesh,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0
Barbados,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0
Belarus,97.0,97.0,97.0,97.0,96.0,96.0,96.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Belgium,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Belize,98.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,95.0,95.0,94.0,93.0,93.0,92.0,91.0,91.0,90.0,89.0,89.0,88.0,87.0
Benin,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0,63.0,63.0,63.0,63.0,63.0,62.0,62.0
Bhutan,97.0,97.0,97.0,97.0,97.0,96.0,95.0,95.0,94.0,93.0,92.0,92.0,91.0,90.0,89.0,88.0,87.0,86.0,85.0,84.0,83.0
Bolivia (Plurinational State of),93.0,93.0,92.0,92.0,91.0,90.0,90.0,89.0,89.0,88.0,87.0,87.0,86.0,85.0,84.0,84.0,83.0,82.0,82.0,81.0,80.0
Bosnia and Herzegovina,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0
Botswana,92.0,92.0,91.0,90.0,89.0,88.0,87.0,86.0,85.0,84.0,83.0,82.0,80.0,79.0,77.0,76.0,76.0,76.0,76.0,76.0,75.0
Brazil,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0
Brunei Darussalam,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bulgaria,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Burkina Faso,47.0,48.0,48.0,49.0,50.0,50.0,51.0,51.0,52.0,53.0,53.0,54.0,54.0,55.0,56.0,56.0,57.0,57.0,58.0,58.0,58.0
Burundi,62.0,62.0,61.0,61.0,60.0,60.0,59.0,58.0,58.0,57.0,57.0,56.0,55.0,55.0,54.0,54.0,53.0,52.0,52.0,51.0,51.0
Cabo Verde,89.0,88.0,88.0,87.0,86.0,85.0,85.0,84.0,84.0,83.0,83.0,83.0,82.0,82.0,81.0,81.0,80.0,80.0,79.0,79.0,79.0
Cambodia,71.0,71.0,70.0,70.0,69.0,68.0,68.0,67.0,66.0,66.0,65.0,64.0,63.0,62.0,61.0,60.0,59.0,57.0,56.0,54.0,53.0
Cameroon,66.0,65.0,65.0,65.0,64.0,64.0,64.0,63.0,63.0,62.0,62.0,62.0,61.0,61.0,60.0,60.0,59.0,59.0,59.0,58.0,58.0
Canada,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
Central African Republic,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,57.0,58.0,59.0
Chad,46.0,46.0,45.0,45.0,45.0,44.0,44.0,44.0,43.0,43.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,40.0,40.0,40.0,40.0
Chile,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0
China,94.0,94.0,93.0,93.0,92.0,92.0,91.0,91.0,90.0,89.0,89.0,88.0,87.0,86.0,85.0,85.0,84.0,83.0,82.0,81.0,80.0
Colombia,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,93.0,93.0,93.0,92.0,92.0,91.0
Comoros,,80.0,80.0,80.0,80.0,80.0,80.0,81.0,82.0,83.0,83.0,84.0,85.0,86.0,87.0,88.0,88.0,89.0,90.0,91.0,91.0
Congo,74.0,74.0,73.0,73.0,72.0,71.0,70.0,69.0,68.0,67.0,66.0,65.0,64.0,63.0,62.0,61.0,60.0,58.0,58.0,57.0,57.0
Costa Rica,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,97.0,97.0,96.0,96.0,96.0,95.0,95.0,94.0
Côte d'Ivoire,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0
Croatia,,,,,,,,,,,,,,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
